<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.30	14:00:00	108285	108366	107672	108011	544204	1755118	1
2022.06.30	15:00:00	108016	108065	107306	107516	569818	1841271	1
2022.06.30	16:00:00	107511	107914	107285	107537	566163	1832507	1
2022.06.30	17:00:00	107543	107575	106859	106859	298862	893633	1
2022.07.01	09:00:00	106789	107096	106381	106607	838423	2280412	1
2022.07.01	10:00:00	106607	107371	106332	107005	1244864	3586804	1
2022.07.01	11:00:00	107005	107328	106063	106811	1078570	3236489	1
2022.07.01	12:00:00	106811	107215	106709	106843	610453	1874288	1
2022.07.01	13:00:00	106838	107322	106773	107064	458088	1424836	1
2022.07.01	14:00:00	107064	107720	107021	107511	425543	1451891	1
2022.07.01	15:00:00	107505	108194	107371	108032	478793	1769456	1
2022.07.01	16:00:00	108038	108398	107855	108140	439333	1613094	1
2022.07.01	17:00:00	108140	108377	107844	108377	195301	655452	1
2022.07.04	09:00:00	107817	108194	107215	107268	536136	1519849	1
2022.07.04	10:00:00	107268	107844	107085	107360	976628	2877727	1
2022.07.04	11:00:00	107360	108296	107295	108129	833896	2465872	1
2022.07.04	12:00:00	108135	108398	107839	107882	420558	1287157	1
2022.07.04	13:00:00	107882	108156	107769	108000	336822	1029607	1
2022.07.04	14:00:00	108006	108183	107882	108006	222797	702971	1
2022.07.04	15:00:00	108011	108162	107801	107812	228150	757201	1
2022.07.04	16:00:00	107806	107855	107263	107360	340108	1103608	1
2022.07.04	17:00:00	107360	107559	107075	107075	199591	681420	1
2022.07.05	09:00:00	106677	106720	106133	106504	787080	2319884	1
2022.07.05	10:00:00	106499	106655	105450	105719	1171138	3475051	1
2022.07.05	11:00:00	105724	106510	105579	105767	1000100	2965355	1
2022.07.05	12:00:00	105767	105773	105181	105665	662620	2107334	1
2022.07.05	13:00:00	105660	106004	105347	105466	533652	1726115	1
2022.07.05	14:00:00	105466	106203	105434	106052	565304	1949082	1
2022.07.05	15:00:00	106058	106811	105988	106763	526729	1766773	1
2022.07.05	16:00:00	106763	107333	106526	107198	566310	1949065	1
2022.07.05	17:00:00	107193	107198	106827	107075	211541	690135	1
2022.07.06	09:00:00	106682	106854	106316	106655	731090	2017019	1
2022.07.06	10:00:00	106655	108059	106564	107602	1272478	3682004	1
2022.07.06	11:00:00	107607	107780	106666	106940	986842	2927661	1
2022.07.06	12:00:00	106940	106983	106198	106601	634888	1980421	1
2022.07.06	13:00:00	106596	106720	106133	106693	417716	1371697	1
2022.07.06	14:00:00	106687	106929	106434	106800	439528	1493997	1
2022.07.06	15:00:00	106800	107537	106397	107322	815722	2784042	1
2022.07.06	16:00:00	107322	108086	107145	107693	440648	1615079	1
2022.07.06	17:00:00	107688	107882	107537	107564	163008	563991	1
2022.07.07	09:00:00	108409	109049	108339	108920	660583	1781921	1
2022.07.07	10:00:00	108926	109910	108856	109754	881922	2779578	1
2022.07.07	11:00:00	109754	109980	109464	109561	648266	2155813	1
2022.07.07	12:00:00	109561	109808	109485	109743	334328	1137052	1
2022.07.07	13:00:00	109743	109883	109679	109770	249389	936452	1
2022.07.07	14:00:00	109770	109840	109663	109738	247732	966210	1
2022.07.07	15:00:00	109738	110599	109700	110195	454776	1728360	1
2022.07.07	16:00:00	110190	110265	109867	109873	338328	1287956	1
2022.07.07	17:00:00	109878	110228	109819	110228	193401	718380	1
2022.07.08	09:00:00	109819	110120	109286	109808	1007679	2468760	1
2022.07.08	10:00:00	109808	110642	109415	109474	1245158	3475538	1
2022.07.08	11:00:00	109474	110072	109184	109889	818518	2447926	1
2022.07.08	12:00:00	109889	109996	109302	109431	490565	1518455	1
2022.07.08	13:00:00	109431	109566	108856	108985	435000	1433697	1
2022.07.08	14:00:00	108985	109324	108823	109205	392422	1359536	1
2022.07.08	15:00:00	109205	109512	109066	109259	361980	1206667	1
2022.07.08	16:00:00	109265	109437	109087	109275	351762	1169365	1
2022.07.08	17:00:00	109281	109335	109135	109135	138383	435046	1
2022.07.11	09:00:00	108183	108388	107543	107747	678380	1843733	1
2022.07.11	10:00:00	107747	108022	107150	107446	1157860	3416749	1
2022.07.11	11:00:00	107446	107484	106962	107075	804422	2508482	1
2022.07.11	12:00:00	107075	107758	107059	107489	530916	1702419	1
2022.07.11	13:00:00	107489	107500	107026	107290	436552	1477614	1
2022.07.11	14:00:00	107290	107419	107059	107177	391169	1416297	1
2022.07.11	15:00:00	107177	107225	106477	106483	501222	1817099	1
2022.07.11	16:00:00	106488	106876	106477	106854	358333	1410615	1
2022.07.11	17:00:00	106854	106956	106671	106736	201808	703991	1
2022.07.12	09:00:00	106251	106693	106225	106671	662815	1861765	1
2022.07.12	10:00:00	106666	106725	105762	105907	1148580	3557839	1
2022.07.12	11:00:00	105907	106784	105816	106736	829974	2524946	1
2022.07.12	12:00:00	106730	107096	106483	107005	516206	1653767	1
2022.07.12	13:00:00	107005	107430	106902	107209	414421	1450154	1
2022.07.12	14:00:00	107209	107430	106972	107392	386120	1412998	1
2022.07.12	15:00:00	107398	107408	107015	107053	411945	1493901	1
2022.07.12	16:00:00	107059	107064	106520	106913	469074	1684313	1
2022.07.12	17:00:00	106913	107360	106795	107285	197537	672971	1
2022.07.13	09:00:00	107295	107505	105843	106047	962231	2443203	1
2022.07.13	10:00:00	106047	106789	105918	106445	1220912	3616496	1
2022.07.13	11:00:00	106451	107591	105955	107441	1022392	3153113	1
2022.07.13	12:00:00	107435	107634	106870	106876	573097	1850339	1
2022.07.13	13:00:00	106876	107231	106865	107215	409609	1313731	1
2022.07.13	14:00:00	107215	107408	106908	107107	476458	1604056	1
2022.07.13	15:00:00	107112	107177	106660	106967	594450	2004525	1
2022.07.13	16:00:00	106972	106989	106375	106429	402875	1500370	1
2022.07.13	17:00:00	106424	106558	106101	106181	154070	520279	1
2022.07.14	09:00:00	105283	105590	104815	104928	751602	2088307	1
2022.07.14	10:00:00	104928	104998	104185	104325	942410	3026587	1
2022.07.14	11:00:00	104325	104331	103776	104234	717040	2487425	1
2022.07.14	12:00:00	104234	104707	104142	104444	609031	2071041	1
2022.07.14	13:00:00	104438	104508	104142	104261	386940	1254247	1
2022.07.14	14:00:00	104266	104433	104169	104357	365806	1259817	1
2022.07.14	15:00:00	104363	104691	104352	104465	406534	1402477	1
2022.07.14	16:00:00	104470	104783	104320	104363	378301	1326069	1
2022.07.14	17:00:00	104363	104524	104196	104223	183284	672095	1
2022.07.15	09:00:00	104551	104820	103954	104551	799918	2234744	1
2022.07.15	10:00:00	104546	104680	103475	103631	1007631	3043436	1
2022.07.15	11:00:00	103631	104836	103626	104702	841719	2673689	1
2022.07.15	12:00:00	104702	105105	104621	104799	441976	1481275	1
2022.07.15	13:00:00	104799	104944	104637	104917	251280	826741	1
2022.07.15	14:00:00	104922	105434	104804	105261	335919	1200227	1
2022.07.15	15:00:00	105261	105288	104982	105073	270760	935994	1
2022.07.15	16:00:00	105073	105154	104885	105132	253577	896139	1
2022.07.15	17:00:00	105127	105283	104906	104992	148772	476083	1
2022.07.18	09:00:00	106160	106187	105643	105880	478045	1318045	1
2022.07.18	10:00:00	105880	106687	105703	106612	934534	2661215	1
2022.07.18	11:00:00	106617	106822	106284	106752	655859	1997198	1
2022.07.18	12:00:00	106752	106800	106305	106311	384411	1204675	1
2022.07.18	13:00:00	106311	106612	106241	106381	307326	985715	1
2022.07.18	14:00:00	106381	106607	105310	105331	549453	1826019	1
2022.07.18	15:00:00	105331	105611	104965	105068	573406	1840625	1
2022.07.18	16:00:00	105068	105504	105041	105369	443571	1484381	1
2022.07.18	17:00:00	105369	105423	104939	104982	232730	758784	1
2022.07.19	09:00:00	105654	105886	105385	105805	591329	1712911	1
2022.07.19	10:00:00	105810	106101	105412	105665	1082511	3187813	1
2022.07.19	11:00:00	105670	106278	105358	105724	773594	2560320	1
2022.07.19	12:00:00	105724	106112	105692	105939	399537	1330463	1
2022.07.19	13:00:00	105945	106348	105907	106300	301114	1042466	1
2022.07.19	14:00:00	106294	106477	106101	106316	374216	1324651	1
2022.07.19	15:00:00	106316	106789	106257	106607	447641	1628246	1
2022.07.19	16:00:00	106612	106789	106418	106483	340102	1197662	1
2022.07.19	17:00:00	106483	107118	106397	106929	200884	680446	1
2022.07.20	09:00:00	106429	106494	105982	106042	571027	1587061	1
2022.07.20	10:00:00	106042	106580	105773	105778	1021224	3024881	1
2022.07.20	11:00:00	105783	106504	105547	106348	673795	2094095	1
2022.07.20	12:00:00	106348	106520	106068	106483	456718	1430894	1
2022.07.20	13:00:00	106477	106800	106230	106720	504815	1696298	1
2022.07.20	14:00:00	106720	106730	105993	106090	527901	1757777	1
2022.07.20	15:00:00	106095	106407	106079	106343	361457	1198168	1
2022.07.20	16:00:00	106343	106784	106321	106569	347952	1199510	1
2022.07.20	17:00:00	106574	106736	106289	106289	155841	494994	1
2022.07.21	09:00:00	106122	106203	105762	105816	601750	1595737	1
2022.07.21	10:00:00	105816	106106	105428	106031	1019541	3149624	1
2022.07.21	11:00:00	106025	106074	105240	105988	780468	2461149	1
2022.07.21	12:00:00	105988	106854	105945	106682	529681	1778992	1
2022.07.21	13:00:00	106687	107064	106574	106919	364069	1330301	1
2022.07.21	14:00:00	106924	107037	106547	106650	392568	1366770	1
2022.07.21	15:00:00	106650	106924	106601	106876	343707	1197942	1
2022.07.21	16:00:00	106881	107451	106870	107338	371723	1334570	1
2022.07.21	17:00:00	107344	107494	107268	107441	128804	473244	1
2022.07.22	09:00:00	107667	107758	107381	107548	495606	1356984	1
2022.07.22	10:00:00	107543	108102	107435	107441	929393	2751342	1
2022.07.22	11:00:00	107441	108135	107225	108054	734742	2359286	1
2022.07.22	12:00:00	108054	108086	107473	107683	452490	1494037	1
2022.07.22	13:00:00	107683	107952	107467	107774	306732	1059934	1
2022.07.22	14:00:00	107774	107780	106956	107118	432240	1515461	1
2022.07.22	15:00:00	107112	107123	106585	106870	392446	1443838	1
2022.07.22	16:00:00	106870	107478	106827	107387	348403	1379005	1
2022.07.22	17:00:00	107387	107564	107317	107564	109449	394967	1
2022.07.25	09:00:00	108059	108285	108000	108145	388912	1081933	1
2022.07.25	10:00:00	108145	108700	107936	108597	1080651	3250187	1
2022.07.25	11:00:00	108597	108796	108194	108468	712723	2198278	1
2022.07.25	12:00:00	108468	108743	108345	108570	362092	1160156	1
2022.07.25	13:00:00	108565	108705	108393	108538	286459	967502	1
2022.07.25	14:00:00	108544	108727	108409	108517	309694	1071754	1
2022.07.25	15:00:00	108511	108974	108447	108710	375251	1341438	1
